Winner,Loser,Date,PD,Location,Loc,winScore,loseScore,winID,loseID,GameType
Raceland,Dayton,12/07/19,16,Dayton,0,65,49,212,69,0
Rose Hill Christian,Burgin,12/07/19,23,Rose Hill Christian,1,73,50,216,36,0
Russellville,Adair County,12/07/19,2,Russellville,1,56,54,220,1,0
South Oldham,Grant County,12/07/19,4,South Oldham,1,72,68,232,103,0
St. Xavier,OUT_STATE,12/07/19,16,St. Xavier,1,83,67,241,0,0
Taylor County,Casey County,12/07/19,9,Taylor County,1,63,54,243,46,0
Trinity (Louisville),OUT_STATE,12/07/19,1,Trinity (Louisville),1,47,46,248,0,0
Trinity (Whitesville),Apollo,12/07/19,13,Trinity (Whitesville),1,75,62,249,4,0
Williamsburg,Harlan,12/07/19,36,Williamsburg,1,88,52,268,111,0
Williamstown,St. Patrick,12/07/19,15,Williamstown,1,61,46,269,240,0
Murray,Lyon County,12/08/19,18,Neutral,2,73,55,181,156,0
Ashland Blazer,Fairview,12/09/19,39,Ashland Blazer,1,84,45,5,85,0
Augusta,St. Patrick,12/09/19,24,St. Patrick,0,63,39,7,240,0
Barbourville,McCreary Central,12/09/19,2,McCreary Central,0,64,62,10,168,0
Bishop Brossart,Beechwood,12/09/19,25,Bishop Brossart,1,80,55,22,14,0
Breckinridge County,Owensboro Catholic,12/09/19,2,Breckinridge County,1,73,71,30,195,0
Campbell County,Calvary Christian,12/09/19,15,Calvary Christian,0,71,56,42,41,0
Christian Academy-Louisville,Shelby County,12/09/19,36,Christian Academy-Louisville,1,80,44,50,227,0
OUT_STATE,Rose Hill Christian,12/09/19,6,OUT_STATE,1,71,65,0,216,0
Fort Campbell,Livingston Central,12/09/19,5,Livingston Central,0,54,49,89,150,0
Frankfort,Burgin,12/09/19,50,Burgin,0,77,27,91,36,0
Grant County,Harrison County,12/09/19,7,Harrison County,0,70,63,103,113,0
Highlands,Holy Cross (Covington),12/09/19,31,Highlands,1,96,65,121,124,0
Lynn Camp,OUT_STATE,12/09/19,22,Lynn Camp,1,84,62,155,0,0
McLean County,OUT_STATE,12/09/19,10,McLean County,1,63,53,169,0,0
Model,OUT_STATE,12/09/19,6,Model,1,57,51,175,0,0
Nelson County,Grayson County,12/09/19,18,Nelson County,1,64,46,182,105,0
Oneida Baptist Institute,Jackson County,12/09/19,14,Jackson County,0,71,57,192,130,0
St. Mary,Community Christian (Paducah),12/09/19,25,St. Mary,1,57,32,239,56,0
Walton-Verona,Gallatin County,12/09/19,9,Gallatin County,0,79,70,256,99,0
Webster County,Dawson Springs,12/09/19,28,Webster County,1,77,49,261,68,0
Whitefield Academy,Kentucky Country Day,12/09/19,11,Whitefield Academy,1,85,74,266,136,0
Bath County,Morgan County,12/10/19,18,Neutral,2,75,57,13,179,0
Lewis County,East Carter,12/10/19,8,Neutral,2,62,54,146,74,0
Rowan County,West Carter,12/10/19,15,Rowan County,1,69,54,217,262,0
Lincoln County,Wayne County,12/10/19,1,Wayne County,0,56,55,149,260,0
Allen County-Scottsville,Adair County,12/10/19,2,Neutral,2,46,44,2,1,0
Knott County Central,Knox Central,12/10/19,5,Neutral,2,68,63,138,139,0
Anderson County,Rockcastle County,12/10/19,19,Anderson County,1,49,30,3,215,0
Ashland Blazer,OUT_STATE,12/10/19,18,OUT_STATE,0,76,58,5,0,0
Augusta,OUT_STATE,12/10/19,19,Augusta,1,64,45,7,0,0
Bardstown,Washington County,12/10/19,45,Washington County,0,97,52,11,259,0
Beechwood,Newport Central Catholic,12/10/19,13,Beechwood,1,60,47,14,184,0
Belfry,East Ridge,12/10/19,16,Belfry,1,89,73,15,76,0
Bellevue,Heritage Academy,12/10/19,20,Heritage Academy,0,77,57,17,119,0
Bethlehem,Thomas Nelson,12/10/19,14,Bethlehem,1,67,53,20,244,0
Bourbon County,Mason County,12/10/19,0.5,Mason County,0,77,61,24,165,0
Bowling Green,Glasgow,12/10/19,4,Glasgow,0,64,60,25,102,0
Boyle County,Somerset,12/10/19,5,Somerset,0,64,59,27,230,0
Bullitt Central,Southern,12/10/19,10,Southern,0,64,54,34,234,0
Butler,Western,12/10/19,9,Western,0,72,63,37,264,0
Butler County,Daviess County,12/10/19,15,Butler County,1,57,42,38,67,0
Campbell County,Dixie Heights,12/10/19,6,Dixie Heights,0,70,64,42,71,0
Carroll County,Eminence,12/10/19,4,Carroll County,1,72,68,45,81,0
Christian Fellowship,Ballard Memorial,12/10/19,44,Ballard Memorial,0,77,33,52,9,0
Clay County,Pike County Central,12/10/19,44,Neutral,2,94,50,53,204,0
Clinton County,Monroe County,12/10/19,19,Clinton County,1,68,49,54,176,0
Collins,Bullitt East,12/10/19,5,Bullitt East,0,71,66,55,35,0
Conner,Cooper,12/10/19,12,Conner,1,57,45,57,58,0
Corbin,Middlesboro,12/10/19,11,Middlesboro,0,55,44,59,174,0
Cordia,Perry County Central,12/10/19,3,Cordia,1,72,69,60,202,0
Covington Catholic,St. Henry,12/10/19,26,Covington Catholic,1,64,38,61,238,0
Crittenden County,Caldwell County,12/10/19,3,Crittenden County,1,65,62,63,39,0
Cumberland County,Metcalfe County,12/10/19,0.5,Cumberland County,1,86,83,64,173,0
Danville Christian,OUT_STATE,12/10/19,50,Danville Christian,1,83,33,66,0,0
Dawson Springs,Livingston Central,12/10/19,26,Livingston Central,0,75,49,68,150,0
DuPont Manual,St. Francis,12/10/19,36,DuPont Manual,1,73,37,73,237,0
Eastern,Christian Academy-Louisville,12/10/19,8,Eastern,1,67,59,77,50,0
Elizabethtown,Nelson County,12/10/19,42,Elizabethtown,1,85,43,79,182,0
Estill County,Madison Southern,12/10/19,11,Madison Southern,0,64,53,82,158,0
Fairdale,Beth Haven,12/10/19,46,Beth Haven,0,108,62,84,19,0
Fleming County,Menifee County,12/10/19,11,Fleming County,1,67,56,87,171,0
Franklin County,Frankfort Christian,12/10/19,68,Frankfort Christian,0,79,11,93,92,0
Frederick Douglass,Woodford County,12/10/19,4,Frederick Douglass,1,77,73,95,271,0
Fulton County,Community Christian (Paducah),12/10/19,35,Community Christian (Paducah),0,74,39,98,56,0
George Rogers Clark,Madison Central,12/10/19,9,Madison Central,0,73,64,101,157,0
Great Crossing,East Jessamine,12/10/19,6,East Jessamine,0,60,54,106,75,0
OUT_STATE,Fulton City,12/10/19,5,Fulton City,0,55,50,0,97,0
Hancock County,Frederick Fraize,12/10/19,6,Frederick Fraize,0,48,42,110,96,0
Hart County,Green County,12/10/19,8,Green County,0,67,59,114,107,0
Henderson County,Apollo,12/10/19,2,Henderson County,1,60,58,116,4,0
Henry Clay,Bryan Station,12/10/19,2,Henry Clay,1,64,62,117,32,0
Holy Cross (Louisville),Iroquois,12/10/19,0.5,Iroquois,0,65,64,125,128,0
Hopkinsville,OUT_STATE,12/10/19,18,OUT_STATE,0,63,45,127,0,0
Jeffersontown,Pleasure Ridge Park,12/10/19,5,Pleasure Ridge Park,0,60,55,131,207,0
John Hardin,Fort Knox,12/10/19,64,Fort Knox,0,97,33,133,90,0
Lafayette,Caverna,12/10/19,28,Lafayette,1,70,42,140,47,0
Lexington Catholic,Scott County,12/10/19,13,Scott County,0,62,49,147,224,0
Lloyd Memorial,Ludlow,12/10/19,31,Ludlow,0,76,45,151,154,0
Louisville Collegiate,Brown,12/10/19,28,Brown,0,66,38,153,31,0
Madisonville-North Hopkins,Christian County,12/10/19,23,Madisonville-North Hopkins,1,77,54,159,51,0
Male,Fern Creek,12/10/19,6,Male,1,67,61,161,86,0
Marion County,Central Hardin,12/10/19,9,Marion County,1,58,49,162,49,0
Marshall County,Carlisle County,12/10/19,20,Marshall County,1,68,48,163,44,0
McCracken County,Calloway County,12/10/19,5,McCracken County,1,65,60,167,40,0
Montgomery County,Paris,12/10/19,36,Paris,0,82,46,177,199,0
Muhlenberg County,Hopkins County Central,12/10/19,22,Muhlenberg County,1,49,27,180,126,0
Murray,Graves County,12/10/19,20,Graves County,0,57,37,181,104,0
Newport,Boone County,12/10/19,16,Newport,1,79,63,183,23,0
North Bullitt,Moore,12/10/19,7,Moore,0,65,58,186,178,0
North Hardin,Warren East,12/10/19,31,Warren East,0,75,44,187,258,0
Paducah Tilghman,Mayfield,12/10/19,24,Paducah Tilghman,1,72,48,197,166,0
Paintsville,Lawrence County,12/10/19,5,Lawrence County,0,61,56,198,142,0
Paul Laurence Dunbar,LaRue County,12/10/19,7,LaRue County,0,64,57,200,141,0
Pendleton County,Nicholas County,12/10/19,5,Pendleton County,1,72,67,201,185,0
Prestonsburg,Magoffin County,12/10/19,4,Prestonsburg,1,65,61,210,160,0
Raceland,Elliott County,12/10/19,15,Raceland,1,64,49,212,80,0
Robertson County,Bracken County,12/10/19,36,Bracken County,0,93,57,214,28,0
Rose Hill Christian,OUT_STATE,12/10/19,33,Rose Hill Christian,1,86,53,216,0,0
Russell County,Greenwood,12/10/19,11,Russell County,1,64,53,219,109,0
Sayre,Western Hills,12/10/19,10,Sayre,1,70,60,222,265,0
Scott,Harrison County,12/10/19,14,Scott,1,78,64,223,113,0
Shawnee,Portland Christian,12/10/19,33,Shawnee,1,97,64,226,208,0
Simon Kenton,Ryle,12/10/19,21,Ryle,0,79,58,229,221,0
South Laurel,Whitley County,12/10/19,11,Whitley County,0,72,61,231,267,0
South Oldham,Spencer County,12/10/19,4,Spencer County,0,59,55,232,236,0
South Warren,Franklin-Simpson,12/10/19,5,Franklin-Simpson,0,60,55,233,94,0
St. Xavier,Central,12/10/19,21,St. Xavier,1,74,53,241,48,0
Tates Creek,Lexington Christian,12/10/19,11,Lexington Christian,0,62,51,242,148,0
Trigg County,Fort Campbell,12/10/19,13,Fort Campbell,0,59,46,246,89,0
Trimble County,Owen County,12/10/19,2,Trimble County,1,50,48,247,193,0
Trinity (Louisville),Seneca,12/10/19,1,Seneca,0,55,54,248,225,0
Union County,University Heights,12/10/19,0.5,Union County,1,80,72,250,251,0
Waggener,Atherton,12/10/19,19,Atherton,0,76,57,254,6,0
Warren Central,Owensboro,12/10/19,9,Warren Central,1,68,59,257,194,0
West Jessamine,Danville,12/10/19,18,West Jessamine,1,67,49,263,65,0
Williamstown,Villa Madonna,12/10/19,30,Williamstown,1,87,57,269,253,0
Wolfe County,Powell County,12/10/19,29,Powell County,0,67,38,270,209,0
Hazard,Phelps,12/11/19,6,Neutral,2,61,55,115,203,0
Martin County,Harlan,12/11/19,14,Neutral,2,65,51,164,111,0
Betsy Layne,Lee County,12/11/19,43,Betsy Layne,1,93,50,21,143,0
Bishop Brossart,Holy Cross (Covington),12/11/19,7,Holy Cross (Covington),0,85,78,22,124,0
Danville,Frankfort,12/11/19,24,Frankfort,0,72,48,65,91,0
Gallatin County,Eminence,12/11/19,22,Gallatin County,1,73,51,99,81,0
Moore,Meade County,12/11/19,1,Moore,1,51,50,178,170,0
North Oldham,Trimble County,12/11/19,33,Trimble County,0,81,48,189,247,0
Oneida Baptist Institute,Pineville,12/11/19,4,Neutral,2,63,59,192,206,0
Pleasure Ridge Park,Bullitt East,12/11/19,11,Pleasure Ridge Park,1,69,58,207,35,0
St. Henry,Villa Madonna,12/11/19,45,St. Henry,1,71,26,238,253,0
Walden,Burgin,12/11/19,3,Walden,1,63,60,255,36,0
Western,Kentucky Country Day,12/11/19,17,Kentucky Country Day,0,71,54,264,136,0
Rowan County,Lewis County,12/12/19,14,Rowan County,1,73,59,217,146,0
Allen County-Scottsville,Greenwood,12/12/19,9,Greenwood,0,72,63,2,109,0
Anderson County,Grant County,12/12/19,5,Anderson County,1,33,28,3,103,0
Bishop Brossart,Ludlow,12/12/19,33,Bishop Brossart,1,64,31,22,154,0
OUT_STATE,Whitley County,12/12/19,7,OUT_STATE,1,54,47,0,267,0
Carroll County,Owen County,12/12/19,13,Carroll County,1,65,52,45,193,0
Cordia,Letcher County Central,12/12/19,28,Cordia,1,68,40,60,145,0
Dayton,Covington Latin,12/12/19,24,Dayton,1,57,33,69,62,0
Fort Campbell,Community Christian (Paducah),12/12/19,4,Community Christian (Paducah),0,64,60,89,56,0
Frederick Douglass,LaRue County,12/12/19,7,LaRue County,0,77,70,95,141,0
Harlan County,Bell County,12/12/19,0.5,Bell County,0,65,59,112,16,0
Highlands,Scott,12/12/19,13,Highlands,1,85,72,121,223,0
Lloyd Memorial,Eminence,12/12/19,50,Eminence,0,74,24,151,81,0
McCreary Central,OUT_STATE,12/12/19,54,McCreary Central,1,69,15,168,0,0
Meade County,Frederick Fraize,12/12/19,29,Frederick Fraize,0,61,32,170,96,0
Newport,Holmes,12/12/19,2,Holmes,0,67,65,183,123,0
North Hardin,Fort Knox,12/12/19,21,Fort Knox,0,78,57,187,90,0
North Oldham,Spencer County,12/12/19,3,North Oldham,1,69,66,189,236,0
Oneida Baptist Institute,Lynn Camp,12/12/19,4,Oneida Baptist Institute,1,66,62,192,155,0
Pikeville,East Ridge,12/12/19,16,Pikeville,1,85,69,205,76,0
Raceland,Augusta,12/12/19,16,Raceland,1,69,53,212,7,0
Russellville,OUT_STATE,12/12/19,1,OUT_STATE,0,68,67,220,0,0
Ryle,Williamstown,12/12/19,15,Williamstown,0,56,41,221,269,0
Scott County,Lexington Christian,12/12/19,11,Scott County,1,84,73,224,148,0
Shelby Valley,Floyd Central,12/12/19,20,Floyd Central,0,80,60,228,88,0
St. Mary,Ballard Memorial,12/12/19,36,St. Mary,1,75,39,239,9,0
Tates Creek,Bryan Station,12/12/19,7,Tates Creek,1,83,76,242,32,0
Walton-Verona,Bellevue,12/12/19,45,Walton-Verona,1,79,34,256,17,0
Wolfe County,Jackson City,12/12/19,27,Jackson City,0,79,52,270,129,0
Boyd County,Rowan County,12/13/19,24,Boyd County,1,68,44,26,217,0
Bourbon County,Paris,12/13/19,44,Bourbon County,1,75,31,24,199,0
Scott,Mason County,12/13/19,1,Mason County,0,68,67,223,165,0
Jackson County,Powell County,12/13/19,21,Jackson County,1,97,76,130,209,0
South Laurel,Bowling Green,12/13/19,6,Neutral,2,70,64,231,25,0
Hazard,Martin County,12/13/19,12,Neutral,2,52,40,115,164,0
Allen County-Scottsville,Cumberland County,12/13/19,11,Allen County-Scottsville,1,62,51,2,64,0
Atherton,St. Francis,12/13/19,8,St. Francis,0,76,68,6,237,0
Ballard Memorial,Community Christian (Paducah),12/13/19,1,Ballard Memorial,1,57,56,9,56,0
Barbourville,Red Bird,12/13/19,3,Red Bird,0,64,61,10,213,0
Bardstown,Trinity (Louisville),12/13/19,4,Trinity (Louisville),0,46,42,11,248,0
Barren County,Monroe County,12/13/19,10,Barren County,1,63,53,12,176,0
Bath County,Menifee County,12/13/19,16,Menifee County,0,75,59,13,171,0
Beechwood,Cooper,12/13/19,9,Beechwood,1,55,46,14,58,0
Belfry,Letcher County Central,12/13/19,1,Belfry,1,73,72,15,145,0
Berea,Dayton,12/13/19,35,Berea,1,82,47,18,69,0
Breckinridge County,Hancock County,12/13/19,11,Breckinridge County,1,56,45,30,110,0
Butler County,Trinity (Whitesville),12/13/19,17,Butler County,1,83,66,38,249,0
OUT_STATE,Fulton County,12/13/19,0.5,OUT_STATE,1,81,79,0,98,0
Calvary Christian,Villa Madonna,12/13/19,29,Calvary Christian,1,78,49,41,253,0
Campbellsville,Taylor County,12/13/19,3,Taylor County,0,79,76,43,243,0
Carlisle County,Hickman County,12/13/19,13,Hickman County,0,66,53,44,120,0
Caverna,Green County,12/13/19,6,Caverna,1,65,59,47,107,0
Central,Shawnee,12/13/19,17,Central,1,66,49,48,226,0
Christian County,Hopkinsville,12/13/19,10,Hopkinsville,0,71,61,51,127,0
Christian Fellowship,OUT_STATE,12/13/19,14,Christian Fellowship,1,72,58,52,0,0
Clay County,Knott County Central,12/13/19,14,Neutral,2,75,61,53,138,0
Clinton County,Metcalfe County,12/13/19,4,Metcalfe County,0,53,49,54,173,0
Collins,Shelby County,12/13/19,13,Shelby County,0,66,53,55,227,0
Conner,Boone County,12/13/19,40,Conner,1,73,33,57,23,0
Corbin,Williamsburg,12/13/19,10,Corbin,1,84,74,59,268,0
Danville,Mercer County,12/13/19,12,Danville,1,83,71,65,172,0
Danville Christian,Beth Haven,12/13/19,7,Danville Christian,1,78,71,66,19,0
Dawson Springs,Hopkins County Central,12/13/19,5,Dawson Springs,1,66,61,68,126,0
DuPont Manual,Fern Creek,12/13/19,8,DuPont Manual,1,69,61,73,86,0
East Jessamine,Garrard County,12/13/19,20,Garrard County,0,61,41,75,100,0
Eastern,Henry Clay,12/13/19,12,Eastern,1,58,46,77,117,0
Elizabethtown,Central Hardin,12/13/19,35,Central Hardin,0,77,42,79,49,0
Estill County,Bell County,12/13/19,2,Estill County,1,57,55,82,16,0
Fleming County,Fairview,12/13/19,8,Fairview,0,62,54,87,85,0
Frederick Douglass,Boyle County,12/13/19,2,Frederick Douglass,1,76,74,95,27,0
Gallatin County,Henry County,12/13/19,17,Gallatin County,1,60,43,99,118,0
George Rogers Clark,Pendleton County,12/13/19,28,Pendleton County,0,70,42,101,201,0
Glasgow,Russell County,12/13/19,2,Russell County,0,51,49,102,219,0
Grayson County,Edmonson County,12/13/19,2,Grayson County,1,50,48,105,78,0
Greenup County,Lewis County,12/13/19,3,Greenup County,1,75,72,108,146,0
Harrison County,Nicholas County,12/13/19,19,Nicholas County,0,70,51,113,185,0
Holmes,Dixie Heights,12/13/19,1,Holmes,1,60,59,123,71,0
Holy Cross (Louisville),Fairdale,12/13/19,7,Fairdale,0,67,60,125,84,0
Jeffersontown,Doss,12/13/19,3,Jeffersontown,1,56,53,131,72,0
Johnson Central,Shelby Valley,12/13/19,3,Shelby Valley,0,56,53,134,228,0
OUT_STATE,Covington Catholic,12/13/19,9,Covington Catholic,0,55,46,0,61,0
Lafayette,Hart County,12/13/19,26,Lafayette,1,86,60,140,114,0
Lawrence County,Betsy Layne,12/13/19,14,Lawrence County,1,87,73,142,21,0
Lexington Catholic,Paul Laurence Dunbar,12/13/19,18,Lexington Catholic,1,72,54,147,200,0
Logan County,Franklin-Simpson,12/13/19,7,Logan County,1,64,57,152,94,0
Louisville Collegiate,Western,12/13/19,15,Louisville Collegiate,1,48,33,153,264,0
Lyon County,Crittenden County,12/13/19,19,Lyon County,1,65,46,156,63,0
Madison Southern,Woodford County,12/13/19,25,Madison Southern,1,93,68,158,271,0
Male,Butler,12/13/19,15,Butler,0,63,48,161,37,0
Marion County,Adair County,12/13/19,18,Adair County,0,70,52,162,1,0
McCracken County,Marshall County,12/13/19,4,Marshall County,0,63,59,167,163,0
Middlesboro,Pineville,12/13/19,11,Pineville,0,55,44,174,206,0
Montgomery County,West Jessamine,12/13/19,1,West Jessamine,0,69,68,177,263,0
Muhlenberg County,Caldwell County,12/13/19,8,Caldwell County,0,54,46,180,39,0
Murray,Calloway County,12/13/19,26,Calloway County,0,63,37,181,40,0
Nelson County,Bethlehem,12/13/19,1,Nelson County,1,59,58,182,20,0
North Bullitt,Bullitt Central,12/13/19,4,Bullitt Central,0,67,63,186,34,0
North Laurel,Leslie County,12/13/19,34,North Laurel,1,73,39,188,144,0
Ohio County,McLean County,12/13/19,30,McLean County,0,80,50,190,169,0
Oldham County,Trimble County,12/13/19,60,Oldham County,1,88,28,191,247,0
Owensboro,Daviess County,12/13/19,25,Owensboro,1,67,42,194,67,0
Owensboro Catholic,Apollo,12/13/19,20,Owensboro Catholic,1,72,52,195,4,0
Paducah Tilghman,St. Mary,12/13/19,23,St. Mary,0,64,41,197,239,0
Pleasure Ridge Park,Valley,12/13/19,39,Valley,0,74,35,207,252,0
Pulaski County,Casey County,12/13/19,36,Casey County,0,79,43,211,46,0
Robertson County,St. Patrick,12/13/19,45,Robertson County,1,78,33,214,240,0
Seneca,Iroquois,12/13/19,10,Iroquois,0,70,60,225,128,0
Simon Kenton,Walton-Verona,12/13/19,9,Walton-Verona,0,81,72,229,256,0
Somerset,Rockcastle County,12/13/19,24,Rockcastle County,0,62,38,230,215,0
South Warren,Warren East,12/13/19,22,South Warren,1,83,61,233,258,0
Southwestern,Wayne County,12/13/19,0.5,Wayne County,0,69,64,235,260,0
St. Henry,Bellevue,12/13/19,52,Bellevue,0,83,31,238,17,0
Thomas Nelson,Washington County,12/13/19,23,Washington County,0,68,45,244,259,0
Trigg County,Livingston Central,12/13/19,14,Livingston Central,0,56,42,246,150,0
Union County,Bracken County,12/13/19,5,Bracken County,0,83,78,250,28,0
Waggener,Southern,12/13/19,16,Southern,0,83,67,254,234,0
Walden,Frankfort Christian,12/13/19,41,Walden,1,59,18,255,92,0
Webster County,OUT_STATE,12/13/19,27,Webster County,1,86,59,261,0,0
Western Hills,Frankfort,12/13/19,13,Western Hills,1,54,41,265,91,0
Whitefield Academy,Brown,12/13/19,14,Brown,0,62,48,266,31,0
Whitley County,OUT_STATE,12/13/19,4,Whitley County,1,76,72,267,0,0
Edmonson County,Monroe County,12/14/19,10,Neutral,2,75,65,78,176,0
Fairdale,OUT_STATE,12/14/19,19,Neutral,2,65,46,84,0,0
Hopkinsville,Barren County,12/14/19,4,Barren County,0,63,59,127,12,0
Warren Central,Henderson County,12/14/19,37,Neutral,2,78,41,257,116,0
Estill County,OUT_STATE,12/14/19,5,Neutral,2,61,56,82,0,0
Lee County,Dayton,12/14/19,4,Neutral,2,59,55,143,69,0
Madison Southern,Barbourville,12/14/19,18,Neutral,2,79,61,158,10,0
Ashland Blazer,OUT_STATE,12/14/19,21,Neutral,2,71,50,5,0,0
Boyd County,Lawrence County,12/14/19,21,Boyd County,1,92,71,26,142,0
OUT_STATE,East Carter,12/14/19,33,Neutral,2,68,35,0,74,0
Lincoln County,South Laurel,12/14/19,14,Neutral,2,54,40,149,231,0
Somerset,Madison Central,12/14/19,0.5,Madison Central,0,71,66,230,157,0
Augusta,OUT_STATE,12/14/19,0.5,Neutral,2,90,83,7,0,0
Bardstown,North Bullitt,12/14/19,24,Neutral,2,82,58,11,186,0
West Jessamine,Bullitt East,12/14/19,16,Neutral,2,80,64,263,35,0
Robertson County,Buckhorn,12/14/19,23,Neutral,2,81,58,214,33,0
Conner,Lloyd Memorial,12/14/19,4,Neutral,2,70,66,57,151,0
Highlands,Bracken County,12/14/19,23,Neutral,2,89,66,121,28,0
Newport,OUT_STATE,12/14/19,19,Newport,1,77,58,183,0,0
Newport Central Catholic,OUT_STATE,12/14/19,13,Neutral,2,57,44,184,0,0
OUT_STATE,Holmes,12/14/19,24,Neutral,2,105,81,0,123,0
Bourbon County,Henry Clay,12/14/19,7,Bourbon County,1,76,69,24,117,0
Bryan Station,Woodford County,12/14/19,1,Neutral,2,56,55,32,271,0
Elliott County,Nicholas County,12/14/19,3,Neutral,2,66,63,80,185,0
Mercer County,Butler,12/14/19,5,Neutral,2,53,48,172,37,0
Lafayette,OUT_STATE,12/14/19,20,Neutral,2,75,55,140,0,0
Scott County,OUT_STATE,12/14/19,5,Scott County,1,77,72,224,0,0
Collins,OUT_STATE,12/14/19,37,Neutral,2,79,42,55,0,0
Great Crossing,OUT_STATE,12/14/19,34,Great Crossing,1,87,53,106,0,0
Calloway County,OUT_STATE,12/14/19,30,Neutral,2,86,56,40,0,0
OUT_STATE,Marshall County,12/14/19,44,Neutral,2,79,35,0,163,0
OUT_STATE,Murray,12/14/19,5,Neutral,2,47,42,0,181,0
OUT_STATE,Ballard,12/14/19,16,Neutral,2,76,60,0,8,0
Covington Catholic,OUT_STATE,12/14/19,11,Neutral,2,71,60,61,0,0
Mason County,Cooper,12/14/19,1,Mason County,1,52,51,165,58,0
Union County,Fleming County,12/14/19,25,Neutral,2,66,41,250,87,0
Southwestern,Thomas Nelson,12/14/19,39,Neutral,2,82,43,235,244,0
Lyon County,Carlisle County,12/14/19,11,Neutral,2,80,69,156,44,0
OUT_STATE,McCracken County,12/14/19,6,McCracken County,0,54,48,0,167,0
Jackson County,Owsley County,12/14/19,6,Jackson County,1,67,61,130,196,0
Pulaski County,Harlan County,12/14/19,5,Neutral,2,74,69,211,112,0
Christian Academy-Louisville,Breathitt County,12/14/19,1,Breathitt County,0,63,62,50,29,0
Wolfe County,Trigg County,12/14/19,14,Neutral,2,76,62,270,246,0
OUT_STATE,Apollo,12/14/19,13,Neutral,2,70,57,0,4,0
John Hardin,Owensboro Catholic,12/14/19,31,Neutral,2,81,50,133,195,0
